year,word,tf,idf,tfidf,rank
2006,cs,0.000229551,3.044522438,0.000698873,4
2006,kcrc,0.000229551,3.044522438,0.000698873,4
2006,fs,0.000229551,3.044522438,0.000698873,4
2006,cepa,0.000918203,0.741937345,0.000681249,7
2006,rmb,0.000841686,0.741937345,0.000624479,8
2006,harmony,0.001530339,0.405465108,0.000620499,9
2006,councillors,0.000306068,1.945910149,0.00059558,10
2007,gifted,0.000652316,1.658228077,0.001081688,1
2007,siblings,0.000326158,3.044522438,0.000992995,2
2007,married,0.000543596,1.658228077,0.000901407,3
2007,sar,0.00152207,0.559615788,0.000851774,4
2007,convergence,0.000326158,2.351375257,0.00076692,5
2007,cherishing,0.000326158,2.351375257,0.00076692,5
2007,lab,0.000326158,2.351375257,0.00076692,5
2007,whilst,0.000326158,2.351375257,0.00076692,5
2007,optimist,0.000217439,3.044522438,0.000661997,9
2007,becs,0.000217439,3.044522438,0.000661997,9
2007,achievers,0.000217439,3.044522438,0.000661997,9
2007,transform,0.000217439,3.044522438,0.000661997,9
2007,noninterventionism,0.000217439,3.044522438,0.000661997,9
2007,familybased,0.000217439,3.044522438,0.000661997,9
2007,lofty,0.000217439,3.044522438,0.000661997,9
2007,vocs,0.000217439,3.044522438,0.000661997,9
2007,imbalances,0.000217439,3.044522438,0.000661997,9
2007,blessings,0.000217439,3.044522438,0.000661997,9
2007,ciif,0.000217439,3.044522438,0.000661997,9
2007,scit,0.000217439,3.044522438,0.000661997,9
2007,sees,0.000217439,3.044522438,0.000661997,9
2008,smallclass,0.000473677,1.945910149,0.000921733,1
2008,miracle,0.000406009,1.945910149,0.000790057,2
2008,hksar,0.00108269,0.646627165,0.000700097,3
2008,t,0.000473677,1.435084525,0.000679767,4
2008,islamic,0.000406009,1.658228077,0.000673255,5
2008,panprd,0.000338341,1.945910149,0.000658381,6
2008,ecf,0.000338341,1.945910149,0.000658381,6
2008,opera,0.000270673,2.351375257,0.000636453,8
2008,gmps,0.000203004,3.044522438,0.000618052,9
2008,arbitral,0.000203004,3.044522438,0.000618052,9
2009,oaa,0.000813935,1.658228077,0.001349689,1
2009,sfc,0.000406967,3.044522438,0.001239021,2
2009,wpm,0.000488361,2.351375257,0.001148319,3
2009,wine,0.000569754,1.945910149,0.00110869,4
2009,healthcare,0.001627869,0.646627165,0.001052624,5
2009,laundering,0.000325574,3.044522438,0.000991217,6
2009,geological,0.000406967,2.351375257,0.000956933,7
2009,tsunami,0.000569754,1.435084525,0.000817645,8
2009,mwc,0.00024418,3.044522438,0.000743413,9
2009,oci,0.00024418,3.044522438,0.000743413,9
2010,swine,0.000478431,3.044522438,0.001456593,1
2010,tree,0.000398692,3.044522438,0.001213828,2
2010,geopark,0.000478431,2.351375257,0.00112497,3
2010,w,0.000478431,2.351375257,0.00112497,3
2010,influenza,0.000877123,1.252762968,0.001098827,5
2010,taiwan,0.001116338,0.965080896,0.001077357,6
2010,healthcare,0.001594769,0.646627165,0.001031221,7
2010,drug,0.000956861,0.84729786,0.000810747,8
2010,harbourfront,0.000637908,1.252762968,0.000799147,9
2010,crossstrait,0.000398692,1.945910149,0.000775819,10
2010,antidrug,0.000398692,1.945910149,0.000775819,10
2011,autistic,0.000489922,3.044522438,0.001491577,1
2011,football,0.000489922,2.351375257,0.00115199,2
2011,healthcare,0.00174972,0.646627165,0.001131417,3
2011,dogs,0.000419933,2.351375257,0.00098742,4
2011,corps,0.000489922,1.945910149,0.000953343,5
2011,buses,0.001329787,0.646627165,0.000859877,6
2011,distress,0.000279955,3.044522438,0.00085233,7
2011,eccpc,0.000279955,3.044522438,0.00085233,7
2011,thec,0.000279955,3.044522438,0.00085233,7
2011,bl,0.000349944,2.351375257,0.00082285,10
2011,cats,0.000349944,2.351375257,0.00082285,10
2011,stray,0.000349944,2.351375257,0.00082285,10
2012,mhpp,0.000698365,2.351375257,0.001642117,1
2012,college,0.000523773,1.945910149,0.001019216,2
2012,healthcare,0.001396729,0.646627165,0.000903163,3
2012,flats,0.002444276,0.336472237,0.000822431,4
2012,hos,0.000931153,0.84729786,0.000788964,5
2012,units,0.001338532,0.559615788,0.000749064,6
2012,chengduchongqing,0.000232788,3.044522438,0.000708729,7
2012,desalination,0.000232788,3.044522438,0.000708729,7
2012,flat,0.000931153,0.741937345,0.000690857,9
2012,prh,0.000698365,0.965080896,0.000673978,10
2013,healthcare,0.002148667,0.646627165,0.001389387,1
2013,pland,0.000460429,2.351375257,0.001082641,2
2013,cop,0.000511587,1.945910149,0.000995503,3
2013,ha,0.000767381,0.965080896,0.000740585,4
2013,edc,0.000306952,2.351375257,0.00072176,5
2013,cpg,0.000358111,1.945910149,0.000696852,6
2013,units,0.001125492,0.559615788,0.000629843,7
2013,ae,0.000204635,3.044522438,0.000623016,8
2013,housing,0.003888065,0.15415068,0.000599348,9
2013,rezoning,0.000460429,1.252762968,0.000576808,10
2014,ccf,0.000849515,1.435084525,0.001219125,1
2014,cop,0.000485437,1.945910149,0.000944617,2
2014,minority,0.000606796,1.435084525,0.000870804,3
2014,units,0.001456311,0.559615788,0.000814974,4
2014,ethnic,0.001031553,0.741937345,0.000765348,5
2014,lump,0.000242718,3.044522438,0.000738962,6
2014,afterschool,0.000485437,1.435084525,0.000696643,7
2014,sites,0.002245146,0.271933715,0.000610531,8
2014,hkia,0.000303398,1.945910149,0.000590385,9
2014,cdf,0.000182039,3.044522438,0.000554221,10
2014,guangxi,0.000182039,3.044522438,0.000554221,10
2014,ivs,0.000182039,3.044522438,0.000554221,10
2015,maritime,0.001130549,0.965080896,0.001091071,1
2015,units,0.001606569,0.559615788,0.000899061,2
2015,healthcare,0.001249554,0.646627165,0.000807995,3
2015,prh,0.000833036,0.965080896,0.000803947,4
2015,skilled,0.000714031,1.098612289,0.000784443,5
2015,dh,0.00023801,3.044522438,0.000724627,6
2015,mtrcl,0.00047602,1.435084525,0.00068313,7
2015,arbitration,0.000595026,1.098612289,0.000653702,8
2015,retirement,0.001071046,0.559615788,0.000599374,9
2015,cic,0.00023801,2.351375257,0.000559651,10
2015,declaration,0.00023801,2.351375257,0.000559651,10
2016,belt,0.002920971,1.098612289,0.003209015,1
2016,agefriendly,0.000486829,3.044522438,0.001482161,2
2016,wifi,0.000432737,2.351375257,0.001017526,3
2016,startups,0.000649105,1.435084525,0.00093152,4
2016,healthcare,0.00129821,0.646627165,0.000839458,5
2016,manual,0.00027046,3.044522438,0.000823423,6
2016,smart,0.000486829,1.658228077,0.000807273,7
2016,hospital,0.001676854,0.47957308,0.000804174,8
2016,units,0.001190025,0.559615788,0.000665957,9
2016,oils,0.000216368,3.044522438,0.000658738,10
2016,aiib,0.000216368,3.044522438,0.000658738,10
2017,belt,0.001019215,1.098612289,0.001119722,1
2017,legco,0.000659492,1.658228077,0.001093588,2
2017,smart,0.000539585,1.658228077,0.000894754,3
2017,guangdonghong,0.0003897,1.945910149,0.000758321,4
2017,kongmacao,0.0003897,1.945910149,0.000758321,4
2017,colocation,0.000239815,3.044522438,0.000730123,6
2017,healthcare,0.001079169,0.646627165,0.00069782,7
2017,parking,0.000419677,1.658228077,0.00069592,8
2017,vpet,0.000269792,2.351375257,0.000634383,9
2017,etc,0.000419677,1.435084525,0.000602272,10
2018,hongkong,0.003460118,2.351375257,0.008136035,1
2018,hongkongs,0.00057235,3.044522438,0.001742533,2
2018,br,0.00057235,3.044522438,0.001742533,2
2018,legco,0.000650398,1.658228077,0.001078508,4
2018,ems,0.000312191,3.044522438,0.000950473,5
2018,ydc,0.000260159,3.044522438,0.000792061,6
2018,dhc,0.000260159,3.044522438,0.000792061,6
2018,healthcare,0.001144701,0.646627165,0.000740194,8
2018,smart,0.000416255,1.658228077,0.000690245,9
2018,ssfs,0.000208127,3.044522438,0.000633648,10
2018,basiclaw,0.000208127,3.044522438,0.000633648,10
2018,ml,0.000208127,3.044522438,0.000633648,10
